loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,education_encoded,self_employed_encoded,loan_status_encoded,total_assets_value,loan_to_income_ratio,assets_to_loan_ratio,monthly_income,monthly_loan_payment,debt_to_income_ratio
1,2, Graduate, No,9600000,29900000,12,778,2400000,17050000,22700000,8000000, Approved,0,0,0,50150000,3.1145833333333335,1.6772575250836121,800000.0,2491666.6666666665,3.114583333333333
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000, Rejected,1,1,1,17000000,2.975609756097561,1.3934426229508197,341666.6666666667,1525000.0,4.463414634146341
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000, Rejected,0,0,1,57700000,3.2637362637362637,1.9427609427609427,758333.3333333334,1485000.0,1.9582417582417582
4,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000, Rejected,0,0,1,52700000,3.7439024390243905,1.716612377850163,683333.3333333334,3837500.0,5.615853658536585
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000, Rejected,1,1,1,55000000,2.4693877551020407,2.272727272727273,816666.6666666666,1210000.0,1.4816326530612245
6,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000, Rejected,0,1,1,33900000,2.8125,2.511111111111111,400000.0,1350000.0,3.375
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved,0,0,0,70800000,3.793103448275862,2.1454545454545455,725000.0,8250000.0,11.379310344827585
8,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000, Rejected,0,1,1,36700000,2.6315789473684212,2.4466666666666668,475000.0,750000.0,1.5789473684210527
9,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000, Approved,0,1,0,5500000,2.75,2.5,66666.66666666667,110000.0,1.65
10,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000, Rejected,1,0,1,9500000,3.909090909090909,2.2093023255813953,91666.66666666667,430000.0,4.6909090909090905
11,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000, Approved,0,1,0,25400000,3.8620689655172415,2.267857142857143,241666.66666666666,5600000.0,23.17241379310345
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000, Rejected,1,1,1,47900000,3.388059701492537,2.1101321585903086,558333.3333333334,1261111.111111111,2.2587064676616913
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000, Rejected,1,1,1,34900000,2.32,3.0086206896551726,416666.6666666667,725000.0,1.74
14,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000, Approved,0,1,0,53300000,3.4615384615384617,1.692063492063492,758333.3333333334,2250000.0,2.9670329670329667
15,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000, Rejected,1,0,1,10900000,3.8947368421052633,1.472972972972973,158333.33333333334,1233333.3333333333,7.789473684210526
16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved,1,0,0,30400000,2.276595744680851,2.8411214953271027,391666.6666666667,1070000.0,2.731914893617021
17,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000, Approved,0,1,0,3400000,3.2,2.125,41666.666666666664,400000.0,9.600000000000001
18,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000, Approved,1,1,0,16700000,3.2413793103448274,1.7765957446808511,241666.66666666666,671428.5714285715,2.7783251231527095
19,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000, Approved,0,0,0,10500000,3.814814814814815,1.0194174757281553,225000.0,1030000.0,4.5777777777777775
20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000, Approved,0,0,0,43200000,2.3174603174603177,2.958904109589041,525000.0,1216666.6666666667,2.3174603174603177
21,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000, Rejected,0,0,1,35200000,3.88,1.8144329896907216,416666.6666666667,1616666.6666666667,3.88
22,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000, Rejected,0,0,1,42700000,2.413793103448276,3.05,483333.3333333333,875000.0,1.810344827586207
23,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000, Rejected,0,1,1,42800000,3.953846153846154,1.6653696498054475,541666.6666666666,1427777.7777777778,2.635897435897436
24,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000, Approved,1,1,0,2900000,2.8,2.0714285714285716,41666.666666666664,700000.0,16.8
25,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000, Rejected,1,0,1,25800000,2.0,2.63265306122449,408333.3333333333,612500.0,1.5
26,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000, Rejected,1,0,1,20200000,3.064516129032258,2.126315789473684,258333.33333333334,475000.0,1.8387096774193548
27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000, Approved,0,0,0,54600000,3.426829268292683,1.9430604982206405,683333.3333333334,2341666.6666666665,3.4268292682926824
28,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000, Approved,1,1,0,16600000,2.3333333333333335,2.9642857142857144,200000.0,1400000.0,7.0
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000, Rejected,1,1,1,51400000,3.4285714285714284,2.1416666666666666,583333.3333333334,4000000.0,6.857142857142857
30,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000, Approved,1,1,0,75900000,3.5,2.4095238095238094,750000.0,3150000.0,4.2
31,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000, Rejected,1,0,1,60200000,2.5816326530612246,2.3794466403162056,816666.6666666666,2108333.3333333335,2.581632653061225
32,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000, Rejected,0,0,1,37000000,2.1052631578947367,3.0833333333333335,475000.0,2000000.0,4.2105263157894735
33,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000, Rejected,1,1,1,4100000,2.0,2.5625,66666.66666666667,160000.0,2.4
34,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000, Approved,1,1,0,33000000,2.619047619047619,1.5,700000.0,11000000.0,15.714285714285714
35,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000, Approved,0,0,0,35700000,2.4285714285714284,3.0,408333.3333333333,1487500.0,3.6428571428571432
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000, Approved,0,1,0,12400000,2.0,3.6470588235294117,141666.66666666666,425000.0,3.0
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved,1,0,0,10800000,3.875,1.7419354838709677,133333.33333333334,344444.44444444444,2.583333333333333
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000, Rejected,0,1,1,30500000,3.4,1.1213235294117647,666666.6666666666,4533333.333333333,6.8
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000, Approved,0,0,0,21200000,2.138888888888889,2.7532467532467533,300000.0,481250.0,1.6041666666666667
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000, Rejected,1,1,1,6800000,3.4,1.3333333333333333,125000.0,850000.0,6.8
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000, Approved,0,0,0,50500000,2.3205128205128207,2.7900552486187844,650000.0,9050000.0,13.923076923076923
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000, Approved,1,0,0,70600000,2.7362637362637363,2.8353413654618476,758333.3333333334,1556250.0,2.052197802197802
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000, Rejected,0,0,1,6400000,2.4285714285714284,1.8823529411764706,116666.66666666667,566666.6666666666,4.857142857142857
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000, Rejected,0,1,1,6100000,2.875,2.652173913043478,66666.66666666667,191666.66666666666,2.8749999999999996
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000, Approved,0,0,0,40100000,2.0615384615384613,2.9925373134328357,541666.6666666666,744444.4444444445,1.3743589743589746
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000, Rejected,0,0,1,51600000,3.475,1.856115107913669,666666.6666666666,1737500.0,2.60625
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000, Approved,1,1,0,22900000,3.4761904761904763,1.5684931506849316,350000.0,2433333.3333333335,6.9523809523809526
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000, Approved,0,1,0,38700000,3.8979591836734695,2.026178010471204,408333.3333333333,1364285.7142857143,3.341107871720117
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000, Approved,1,0,0,36100000,3.727272727272727,1.7609756097560976,458333.3333333333,1708333.3333333333,3.727272727272727
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000, Approved,1,1,0,60000000,2.0105263157894737,3.141361256544503,791666.6666666666,1193750.0,1.5078947368421054
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000, Rejected,0,0,1,33300000,3.4794520547945207,1.311023622047244,608333.3333333334,1587500.0,2.6095890410958904
