,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9988,1.0,0.9969,0.9984,1.0
Random Forest (Tuned),0.9988,1.0,0.9969,0.9984,1.0
XGBoost,0.9977,0.9969,0.9969,0.9969,1.0
Neural Network,0.9824,0.9873,0.9659,0.9765,0.997
SVM (Tuned RBF),0.9578,0.9556,0.9319,0.9436,0.9913
SVM (RBF),0.9555,0.9385,0.9443,0.9414,0.9877
SVM (Linear),0.9485,0.9189,0.9474,0.9329,0.9779
SVM (Polynomial),0.9473,0.9162,0.9474,0.9315,0.9816
Logistic Regression (Baseline),0.945,0.9182,0.9381,0.928,0.9778
Logistic Regression (L1),0.945,0.9182,0.9381,0.928,0.9778
Logistic Regression (L2),0.945,0.9182,0.9381,0.928,0.9778
Logistic Regression (ElasticNet),0.945,0.9182,0.9381,0.928,0.9777
Logistic Regression (PCA),0.945,0.9233,0.9319,0.9276,0.978
